位置,主线章节,活动简述,玩家机制,玩家目标,设计目标,情绪节拍,遇到的角色/敌人,遇到的物体,需要的其他资产,音频笔记,视觉效果笔记,,,,,,,,
,,解锁&展示新的蓝图,"走路；
制造；蓝图；",查看解锁了啥,给玩家新的游戏目标,好奇,,工作台？,,,,,,,,,,,
野外,,野外探索,"走路；
采集；开宝箱；
冲刺；翻越；",搜集家具；搜集制造所需材料；获取稀有物品；探索新区域,"给玩家挑战，让玩家获得克服挑战的快乐；
开放新区域、新怪物，让玩家获得探索的新鲜感和刺激",专注、激动、害怕,,,,,,,,,,,,,
家园,,建造&摆放更多家具，以达到舒适度要求,"走路；
制造；",获取更高级的家具，提高水獭哥哥家舒适度，完成任务,"驱动玩家去做装修的尝试，让玩家再次体验装修流程；
让玩家体验完整的采集循环，这是这个循环的正反馈；
家园舒适度对玩家的buff？如何引入蓝图解锁、装备制造",好奇、探索、摆放的乐趣,,工作台可建造物品增加,红点指引（工作台）,,,,,,,,,,
,,"【剧情】水獭哥哥感谢；
告知玩家水獭姐姐和妹妹的存在，并提出扩建；（@彳亍扩建是否需要提交材料？可以将找水獭和扩建做成两个平行的任务）
建议玩家制造装备
【任务】扩建
【任务】寻找水獭",无,等待观察游戏接下来的进展,"给玩家任务完成的正反馈；
告知玩家接下来的剧情和任务；
提示玩家可以制造装备",成就感,水獭哥哥,,,,,,,,,,,,
野外,第三章,自由探索,"走路；
采集；开宝箱；
冲刺；翻越；","获取更高级的物品；
（搜寻扩建所需材料？@彳亍）
寻找新水獭；",让玩家自由探索野外的整体地图，从中得到挑战和奖励,好奇、紧张、期待,,,,,,,,,,,,,
,,玩家发现水獭妹妹，上前对话。,"走路；
采集；开宝箱；
冲刺；翻越；",推进游戏,给玩家新的目标和剧情,惊喜,水獭妹妹,,,,,,,,,,,,
,,【剧情】水獭妹妹请求玩家收留,无,观察发展,衔接后续,期待,水獭妹妹,,,,,,,,,,,,
,,玩家带水獭妹妹回家，水獭妹妹自动跟随@彳亍,"走路；
采集；开宝箱；
冲刺；翻越；",将水獭妹妹安全带回,给玩家挑战，不想让水獭妹妹死的紧张感，但路过宝箱又想开,紧张、慎重,水獭妹妹、敌人,,,,,,,,,,,,
家园,第四章,【剧情】和水獭妹妹一起到家的剧情。根据玩家是否死亡有不同对白。,无,观察发展,"让玩家家里有新的小动物，于是有新的装修目标；
可以看到小动物之间的互动",成就感（未死亡回家） / 松一口气（猫车回家）,水獭妹妹、水獭哥哥,,,,,,,,,,,,
,,"【剧情】水獭哥哥告知玩家扩建成功。
【任务】让玩家给水獭妹妹装修",无,观察发展,给玩家新的装修目标，获取物品的动力,平静,水獭妹妹、水獭哥哥,,,,,,,,,,,,
,,……,,,,,,,,,,,,,,,,,
